"WORD","PART_OF_SPEECH","PRONUNCIATION","DEFINITION","LITERAL_TRANSLATION","RELATED_PHRASE","RELATED_PHRASE_DEFINITION","RELATED_PHRASE_LITERAL_TRANSLATION","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_FILENAME","RELATED_PHRASE_AUDIO_SOURCE","CATEGORIES","CULTURAL_NOTE","REFERENCE","INCLUDE_IN_GAMES","CHILD_FRIENDLY","AUDIO_TITLE","AUDIO_DESCRIPTION","AUDIO_FILENAME","AUDIO_SHARED_WITH_OTHER_DIALECTS","AUDIO_CHILD_FOCUSED","AUDIO_SOURCE","AUDIO_RECORDER","IMG_TITLE","IMG_FILENAME","IMG_DESCRIPTION","IMG_SOURCE","USERNAME","CONTRIBUTOR"
"ts'mhuuts'a̱x","common noun","","stream; ditch; brook; creek ","","ts'mhuutsa̱x","creek (Clarence Anderson, Hartley Bay, 1979).","","Spoken example sentence with word: ts'mhuuts'a̱x","tsm-huuts'Ax-ca-hb-79.mp3","","","","Dunn, Practical Dictionary entry: 1736. Dunn, Practical Dictionary entry: 1953.","1","","","","tsm-huuts'Ax-ca-hb-79.mp3","","","","","Image depicting: ts'mhuuts'a̱x","ts'mhuutsa_x.bmp","","","","",
"dzak","common noun","dzak","deceased person","","Akadi g̱awdi wilalooł wilksi'waatk wag̱ayt wil wa̱'a̱xsa dzagit.","The job of the father’s side is not done until the deceased is buried.","","Spoken example sentence with word: dzak","636885264102837693A LexExampleSentence.mp3","Jacobs-F 22.  Ellen Mason, Txałgiiw","","","Dunn, Practical Dictionary entry: 244.","1","","","","636885264102837693A LexExampleSentence.mp3","","","","","","","","","","",
"dzak","intransitive verb","dzak","dead; die","","'Nax'nuuyu dzaga łgu haasgn.","I heard your little dog died.","","Spoken example sentence with word: dzak","636885264474660819A LexExampleSentence.mp3","Ellen Mason, Txałgiiw","","","Dunn, Practical Dictionary entry: 244.","1","","","","636885264474660819A LexExampleSentence.mp3","","","","","","","","","","",
"laanm hana̱'a̱","common noun","","marriageable woman (a woman who does things well and is approved/chosen by your grandmother)","","","","","","","","","","","1","","Person saying: laanm hana̱'a̱","","","","","","","","","","","","",
"ludadoo","intransitive verb","lu/dah/*doo","go in, put in","","Ła gwaanksa hoon dawila lip ludadoot da ts'm g̱aył.","When the fish was cooked it went in the bowl by itself.","","","","K-018 -  29.1","","","","1","","","","","","","","","","","","","","",
"ludadoo","transitive verb","lu/dah/*doo","preserve (by canning, freezing, etc.)","","Dm ludadooyu laan dm g̱a̱nga̱p'm ła̱'a̱sgm.","I will preserve fish-roe to eat with seaweed.","","Spoken example sentence with word: ludadoo","ludadoo-em-hb-02.mp3","","","","","1","","","","ludadoo-em-hb-02.mp3","","","","","Image depicting: ludadoo","Unit 8- action- to put away food.jpg","","Image courtesy of Aboriginal Education, School District 52","","",
"łgwisliism hana̱'a̱x","kinship term noun","łgwis/liism/ha/*na̱'a̱x","niece","","Kxeen di wil dzog̱a łgwisliism hana̱'a̱g̱u.","My niece lives in Prince Rupert.","","","","","","","Dunn, Practical Dictionary entry: 1312.","1","","","","","","","","","","","","","","",
"g̱a̱nsigiit'isk","common noun","*g̱a̱n/si/*gii/t'isk","yeast","","","","","","","","","","Dunn, Practical Dictionary entry: 403.","1","","","","","","","","","","","","","","",
"smgit goo","common noun","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"łaank","intransitive verb","łaantk","move","","Łaantga̱ yuup.","The earth moved.","","Spoken example sentence with word: łaank","laantk-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1272.","1","","","","laantk-em-hb-02.mp3","","","","","","","","","","",
"'li'waa","transitive verb","","find (pl.), come upon","","Adat wilaayda dm t'ooxłg̱a dm gyik 'li'waaytga.","And they knew that suffering was about to find them again.","","","","Beynon m 28.1","","","","1","","","","","","","","","","","","","","",
"k'a̱ hat'a̱xk","intransitive verb","k'a̱/ha/*t'a̱xk","worst","","K'a̱ hat'a̱xg̱m łguwoomłk","The worst child","","Spoken example sentence with word: k'a̱ hat'a̱xk","k'ahat'axk-dl-hb-01.mp3","","","","","1","","","","k'ahat'axk-dl-hb-01.mp3","","","","","Image depicting: k'a̱ hat'a̱xk","BOY - ANGRY 3.jpg","","Image from Print Artist software, version 23, Bonus Graphics CD.","","",
"ts'ulbiksk","intransitive verb","ts'ul/*biksk","withdraw, retreat, go back in, draw back, duck down; sink down","","ada sa ts'ilm ts'ulbiksit a ts'm yuup.","and it suddenly went back into the ground.","","","","Beynon m 181.1","","","Dunn, Practical Dictionary entry: 1974.","1","","","","","","","","","","","","","","",
"lu'yikwłdaat","number","lu/'yikwł/*daat","eight (people aboard a conveyance)","","Lu'yikwłdaada sgabüü 'yuuta liwaaydat da ts'm xsoo.","There are eight men paddling the canoe.","","Spoken example sentence with word: lu'yikwłdaat","lu'yikwldaat-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 842.","1","","","","lu'yikwldaat-em-hb-02.mp3","","","","","","","","","","",
"likst'aa","common noun","liks/*t'aa","island","","Heelda maay a k'üülda likst'aa.","There are a lot of berries on one island.","","","","","","","Dunn, Practical Dictionary entry: 1218.","1","","","","","","","","","Image depicting: likst'aa","Landscape 41.jpg","","Image from Print Artist Platinum solftware, version 23, Supplementary Graphics CD.","","",
"da̱mx","transitive verb","da̱mx","sleep next to someone (not a sexual reference); sleep with someone","","Damxdut Kayla.","I slept with Kayla.","","","","","","","","1","","","","","","","","","","","","","","",
"dzak'wisk","common noun","*dzak/'wisk","animal (any animal that has been killed and taken home; in older usage did not include flying animals or water animals); kill - the animals that were killed by a hunter","","T'maaysa dzak'wisga gyilks diyeltgn?","How many animals did you take home?","","Spoken example sentence with word: dzak'wisk","dzak'wusk-pr-hb-01.mp3","Perry Reece, Txałgiiw","","","Dunn, Practical Dictionary entry: 245.","1","","","","dzak'wusk-pr-hb-01.mp3","","","","","","","","","","",
"nda'aamx","common noun","nda/*'aa/mx","truce","","","","","","","","","","Dunn, Practical Dictionary entry: 1465.","1","","Person saying: nda'aamx","","","","","","","","","","","","",
"nda'aamx","intransitive verb","nda/*'aa/mx","reconcile; make peace","","","","","","","","","","Dunn, Practical Dictionary entry: 1465.","1","","Person saying: nda'aamx","","","","","","","","","","","","",
"Luusn","common noun","luusn","Russians","Language of borrowing: English (Russian)","Heelda Luusns a 'na k'a Boosn.","There are lots of Russians in Alaska (the United States).","","Spoken example sentence with word: Luusn","luusn-em-hb-02.mp3","","","","","1","","","","luusn-em-hb-02.mp3","","","","","","","","","","",
"'liiḵ'a̱ngyaksk","intransitive verb","'lii/g̱a̱n/*gyaksk","submerged","","'Liiḵ'a̱ngyaksga aks da la̱x g̱ayna ła dziilksa mooks.","The sidewalk is submerged in water now that the snow has melted.","","Spoken example sentence with word: 'liiḵ'a̱ngyaksk","'ligangyaksk-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1146.","1","","","","'ligangyaksk-dl-hb-01.mp3","","","","","","","","","","",
"'liiḵ'a̱ngyaksk","intransitive verb","'lii/g̱a̱n/*gyaksk","washed over","","'Lii ḵ'a̱ngyaksga xsoo a g̱oop.","The boat is washed over by waves.","","","","","","","Dunn, Practical Dictionary entry: 1146.","1","","","","","","","","","","","","","","",
"ts'aaltii","common noun","ts'aalt","ask permission of someone to do something","","Sgüü midm ts'aaltiiyu.","You have to ask for my permission.","","Spoken example sentence with word: ts'aaltii","ts'aalt-dl-hb-03.mp3","","","","","1","","","","ts'aalt-dl-hb-03.mp3","","","","","Image depicting: ts'aaltii","GIRL ASKING QUESTION.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"gyoo","","","float, park, tie up","","","","","","","","","","","1","","","","","","","","","","","","","","",
"txag̱aayt","intransitive verb","","hooded, having a hood","","ada 'ap luk'wil mooksm, 'ap luk'wil hoysk, ada txag̱aaydit.","and it was very white, really attractive, and it had a hood.","","","","HB 02 Vi 55.1","","","","1","","","","","","","","","","","","","","",
"g̱aaymg̱a̱nsk","common noun","g̱aaym/*g̱a̱nsk","oar (Kitkatla dialect)","","Ndzuu g̱aaymg̱a̱nsga awaan.","Give me that oar.","","Spoken example sentence with word: g̱aaymg̱a̱nsk","gaamgansk-mb-kk-01.mp3","","","","","1","","","","gaamgansk-mb-kk-01.mp3","","","","","Image depicting: g̱aaymg̱a̱nsk","ROW BOAT 2.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"intawa'at","","","pocket","","","","","","","","","","","1","","","","","","","","","","","","","","",
"'namiik","intransitive verb","miik","bruised (Hartley Bay dialect)","","'Namiik - Goł g̱a̱n 'namiiga an'on?","Why do you have a bruise on your hand?","","Spoken example sentence with word: 'namiik","m-’namiik-bruise-vn-hb-2015.mp3","","","","","1","","Person saying: 'namiik","","m-’namiik-bruise-vn-hb-2015.mp3","","","","","","","","","","",
"laal","common noun","","worm (Lax Kw'alaams dialect)","","","","","","","","","","","1","","Person saying: laal","","","","","","","","","","","","",
"ayaluwaat","intransitive verb","ay/a/la/*waat","shout; cheer (pl.)","","Xstaamg̱a wil ayaluwaada lisa'ylm ła'at'it.","The people watching the ball game cheered loudly.","","Spoken example sentence with word: ayaluwaat","ayalawil-db-kk-03.mp3","","","","","1","","","","ayalawil-db-kk-03.mp3","","","","","","","","","","",
"aka 'nasap","intransitive verb","aka na/*sap","no doubt","","Aka 'nasaba nag̱a̱g̱eexsa wa̱n.","No doubt it’s deer tracks.","","Spoken example sentence with word: aka 'nasap","sap-dl-hb-01.mp3","","","","","1","","","","sap-dl-hb-01.mp3","","","","","","","","","","",
"tgig̱oydiks","intransitive verb","tgi/*g̱oy/diks","come down","","Tgig̱oydiksa 'wii gyibaaw, 'waatgit a la̱x sga'niis.","The big wolf came down, coming from the mountain.","","Spoken example sentence with word: tgig̱oydiks","636862844981721382A LexExampleSentence.mp3","","","","","1","","","","636862844981721382A LexExampleSentence.mp3","","","","","","","","","","",
"-ł","Derivational suffix","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"'neeła","intransitive verb","","loosen, slack","","Ada txa'nii wil sa 'neeła hagwilhu "," and every time the rope slackened","","","","Beynon m 62.1","","","","1","","","","","","","","","","","","","","",
"aag̱a̱n","common noun","","red cedar suitable for splitting off planks - straight grained.","","","","","","","","","","","1","","","","","","","","","","","","","","",
"gwildm g̱awdi","intransitive verb","*gwil/dm/*g̱aw/di","all ready","","Ła gwildm g̱awdi wineeya dm ga̱bn.","Our meal is ready.","","Spoken example sentence with word: gwildm g̱awdi","gwilm_gawdi-sr-hb-01.mp3","","","","","1","","","","gwilm_gawdi-sr-hb-01.mp3","","","","","","","","","","",
"ts'a̱'a̱x","common noun","ts'a̱'a̱x","clams","","Ładm si gyootgm dm si ts'a̱'a̱xm.","We are leaving to dig for clams.","","Spoken example sentence with word: ts'a̱'a̱x","ts'a'ax-ge-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 425.  Dunn, Practical Dictionary entry: 1898. Dunn, Practical Dictionary entry: 1911.  Dunn, Practical Dictionary entry:315.","1","","","","ts'a'ax-ge-hb-01.mp3","","","","","Image depicting: ts'a̱'a̱x","ab-ed-CLAM1.bmp","","Image courtesy of Aboriginal Education, School District 52.","","",
"naatsk","common noun","naatsk","harpoon point ","","Na lip dzabu ndi naatsgu.","I made my own harpoon barb.","","","","","","","","1","","Person saying: naatsk","","","","","","","","","","","","",
"sisgyensgmg̱aws","intransitive verb","si/*sgyens/gm/*g̱aws","blond hair (darker than mooksgmg̱aws) (Kitkatla dialect)","","Sisgyensgmg̱awsa na̱g̱a̱ts'aaẅ da hanaa'na̱x.","Some girls have blond hair.","","","","","","","","1","","","","","","","","","Image depicting: sisgyensgmg̱aws","HAIR BLONDE.jpg","","Image from Print Artist software, version 23, Bonus Graphics CD.","","",
"sisgyensgmg̱aws","common noun","si/*sgyens/gm/*g̱aws","blond person","","","","","","","","","","","1","","","","","","","","","","","","","","",
"aayuwa̱n","intransitive verb","*aay\u\*wan","remain away for a long time. usage: may be an archaic form; would now use adigwilwan","","Aayuwa̱n da g̱aldoo.","They stayed at camp for a long time. ","","Spoken example sentence with word: aayuwa̱n","aayuwa_n-db-kk-03.mp3","Doug Brown, Gitxaała","","","Dunn, Practical Dictionary entry: 25.","1","","Person saying: aayuwa̱n","","aayuwa_n-db-kk-03.mp3","","","","","","","","","","",
"haldm=","preverbal","*hal/dm","up","","Haldm gaa łguwoomłga awaan, tgi oksk.","Pick up that child by you, s/he fell.","","Spoken example sentence with word: haldm=","haldm-mw-hb-01.mp3","","","","","1","","Person saying: haldm=","","haldm-mw-hb-01.mp3","","","","","","","","","","",
"sa ni'itsk","intransitive verb","","glance, suddenly see something","","Sa ni'itsgit Ellen.","Ellen suddenly saw something.","","Spoken example sentence with word: sa ni'itsk","sa-ni'itsk-TL-HB-2018.mp3","Beynon m 92.1","","","","1","","","","sa-ni'itsk-TL-HB-2018.mp3","","","","","","","","","","",
"gwa̱x=","prenominal","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"wag̱ayt gyiika aks","intransitive verb","wa/g̱ayt/*gyii/ka/*aks","zero tide; low water","","Dm sibilhaa'nm dziła wag̱ayt gyiika aks.","We will pick abalone at low water.","","Spoken example sentence with word: wag̱ayt gyiika aks","wagayt_gyiikaaks-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2043.","1","","","","wagayt_gyiikaaks-dl-hb-03.mp3","","","","","","","","","","",
"hana̱'a̱","common noun","","woman","","G̱an ła k'üülda sah dat pliyaaẅda sup'asm hana̱'a̱t noot wila haw nakst.","So one day the young woman told her mother what her husband said.","","","","Beynon m 135.1","","","Dunn, Practical Dictionary entry: 754.","1","","","","","","","","","","","","","","",
"gwinxs ḵ'a̱mg̱o'onsk","intransitive verb","","plead for pity","","Ada 'yag̱ayt gwinxs ḵ'a̱mg̱o'onsgitga as dip 'niit.","However they asked him to pity them.","","","","Beynon m 315.1","","","","1","","","","","","","","","","","","","","",
"ḵ'a̱lmoosm la̱xsg̱a̱'niis","common noun","ḵ'a̱l/*moos/m/la̱x/sg̱a̱/*'niis","spider crab","","Heelda ḵ'a̱lmoosm la̱xsg̱a̱'niis da awa Txałgiiw.","There are lots of spider crabs by Hartley Bay.","","Spoken example sentence with word: ḵ'a̱lmoosm la̱xsg̱a̱'niis","k'almoosmlaxsga'niis-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 873.","1","","","","k'almoosmlaxsga'niis-dl-hb-01.mp3","","","","","","","","","","",
"g̱ana'oks","intransitive verb","g̱ana/*'oks","fall against","","G̱ana'oksa aniis a 'niksuniiskw.","A branch fell against the window.","","Spoken example sentence with word: g̱ana'oks","gana'oks-mb-kk-01.mp3","","","","","1","","","","gana'oks-mb-kk-01.mp3","","","","","","","","","","",
"Ha'li Lugwaant'is","common noun","","Celebration Day (designates the Monday after Easter, which was celebrated by a day of sports competitions in Ts’msyen villages); could also be applied to other days of celebration, such as an anniversary celebration or party.","","Ama Ha'li Lugwaant'is.","Happy Celebration Day.","","","","","","","","1","","","","","","","","","","","","","","",
"liklee","intransitive verb","","large","","Liklee 'wiit'a 'ẅa̱h.","The oolichans are large.","","","","","","","","1","","","","","","","","","","","","","","",
"hałgyeeka","common noun","hał/*gyee/ka","beach (Hartley Bay dialect)","","Dm sa'ap waalxsa'nm a hałgyeeka.","We'll go for a walk down the beach.","","","","","","","Dunn, Practical Dictionary entry: 696.Dunn, Practical Dictionary entry: 746.","1","","","","","","","","","Image depicting: hałgyeeka","hal_gyeeka.bmp","","","","",
"kwla̱xs","common noun","","cakes of seaweed","","Noos Agnes int dzaba kwla̱xs ła̱'a̱sk.","Agnes’ mother is the onewho made seaweed cakes.","","","","More Git 14.1","","","","1","","","","","","","","","","","","","","",
"'wii t'iiw","intransitive verb","'wii/*t'iiw","swollen","","'Wii t'iiw na moos Thomas, yedza da da̱xł.","Thomas' thumb is huge, he hit it with a hammer.","","Spoken example sentence with word: 'wii t'iiw","'wiit'iiw-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2084.","1","","","","'wiit'iiw-dl-hb-03.mp3","","","","","","","","","","",
"g̱olk'a","common noun","g̱ol/*k'a","creeping raspberry or cloudberry. See Plants of the Gitg̱a'at People for a discussion of creeping raspberry and cloudberry, both of which are called this by some people","","Hasa̱g̱u nm güül g̱olk'a.","I want to pick some creeping raspberries.","","","","","","","","1","","","","","","","","","Image depicting: g̱olk'a","rubus_pedatus.bmp","","Photograph courtesy of Nancy Turner.","","",
